model_key,RSA_hierarchical_mean,RSA_hierarchical_hdi_low,RSA_hierarchical_hdi_high
ollama-gemma3-12b,0.9283810349706884,0.4107068333173334,1.3999722487642252
ollama-llama32-3b,0.8695167009811341,0.4495488252526644,1.2522903733047923
anthropic-sonnet46,0.7015966197029091,0.3744145286064884,1.04167100136385
ollama-mistral-7b,0.6430072189642749,0.22511472467453125,1.0844414831015627
ollama-llama3-70b,0.47806891658669665,0.023765381666908725,0.9509835913834747
ollama-llama32-1b,0.4005290227543975,-0.12118303418761464,0.9899852913810512
anthropic-haiku45,0.3781048482744403,0.0735554213110971,0.6776912375965243
ollama-gemma3-27b,0.28049605054060317,-0.09102974034456413,0.6415966327982373
ollama-gptoss-20b,0.2611352079100145,-0.3548171177899456,0.8643990090627154
openai-gpt41,0.22436229095270424,-0.2102479698397248,0.6969757488274606
ollama-gemma2-2b,0.19792671007251023,-0.21382345162131156,0.6471757621283658
ollama-qwen25-7b,0.1687704486827252,-0.25873937545034126,0.5454119904182813
ollama-qwen25-3b,0.1664411558880631,-0.2148126948466637,0.5571837488958746
ollama-mistral-nemo,0.1297630706910083,-0.3457491908371947,0.5447310609947238
ollama-llama31-8b,0.014488015940848236,-0.41445181533837283,0.4154530464993795
openai-gpt4o,-0.08152115833025349,-0.695753034685076,0.45058336773326535
