,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|model_key[ollama-gemma3-27b],0.391,0.089,0.224,0.557,0.004,0.002,500.0,1023.0,1.01
1|model_key[ollama-gptoss-20b],-0.597,0.092,-0.763,-0.417,0.004,0.002,541.0,1265.0,1.01
1|model_key[ollama-llama3-70b],-0.359,0.088,-0.515,-0.186,0.004,0.002,493.0,1004.0,1.01
1|model_key[ollama-llama31-8b],-0.36,0.088,-0.528,-0.198,0.004,0.002,477.0,1076.0,1.01
1|model_key[ollama-llama32-1b],0.112,0.1,-0.072,0.305,0.004,0.002,613.0,1304.0,1.01
1|model_key[ollama-llama32-3b],-0.21,0.088,-0.374,-0.044,0.004,0.002,490.0,1091.0,1.01
1|model_key[ollama-mistral-7b],0.189,0.089,0.021,0.359,0.004,0.002,511.0,1153.0,1.01
1|model_key[ollama-mistral-nemo],0.29,0.088,0.137,0.469,0.004,0.002,476.0,1078.0,1.01
1|model_key[ollama-qwen25-3b],-0.205,0.089,-0.365,-0.028,0.004,0.002,492.0,1077.0,1.01
1|model_key[ollama-qwen25-7b],-0.131,0.088,-0.305,0.027,0.004,0.002,478.0,1038.0,1.01
1|model_key[openai-gpt41],-0.194,0.089,-0.363,-0.032,0.004,0.002,491.0,1061.0,1.01
1|model_key[openai-gpt4o],-0.063,0.089,-0.228,0.104,0.004,0.002,510.0,995.0,1.01
"recipient_gender_condition|model_key[male, anthropic-haiku45]",-0.024,0.045,-0.113,0.061,0.001,0.001,2058.0,2276.0,1.0
"recipient_gender_condition|model_key[male, anthropic-sonnet46]",0.188,0.05,0.094,0.28,0.001,0.001,2087.0,2425.0,1.0
"recipient_gender_condition|model_key[male, ollama-gemma2-2b]",-0.129,0.047,-0.215,-0.036,0.001,0.001,2212.0,2536.0,1.0
"recipient_gender_condition|model_key[male, ollama-gemma3-12b]",-0.006,0.047,-0.094,0.079,0.001,0.001,1851.0,2378.0,1.0
"recipient_gender_condition|model_key[male, ollama-gemma3-27b]",0.051,0.046,-0.033,0.139,0.001,0.001,1998.0,2611.0,1.0
"recipient_gender_condition|model_key[male, ollama-gptoss-20b]",0.079,0.054,-0.021,0.183,0.001,0.001,2474.0,2620.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama3-70b]",0.134,0.045,0.051,0.227,0.001,0.001,1863.0,2525.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama31-8b]",0.047,0.046,-0.035,0.137,0.001,0.001,2161.0,2168.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama32-1b]",-0.056,0.069,-0.185,0.076,0.001,0.001,3173.0,2864.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama32-3b]",0.048,0.045,-0.038,0.13,0.001,0.001,1728.0,2193.0,1.0
"recipient_gender_condition|model_key[male, ollama-mistral-7b]",-0.105,0.046,-0.197,-0.023,0.001,0.001,1837.0,2464.0,1.0
"recipient_gender_condition|model_key[male, ollama-mistral-nemo]",-0.013,0.046,-0.099,0.073,0.001,0.001,1817.0,2621.0,1.0
"recipient_gender_condition|model_key[male, ollama-qwen25-3b]",-0.106,0.046,-0.192,-0.019,0.001,0.001,2106.0,2716.0,1.0
"recipient_gender_condition|model_key[male, ollama-qwen25-7b]",0.017,0.046,-0.073,0.1,0.001,0.001,2116.0,2552.0,1.0
"recipient_gender_condition|model_key[male, openai-gpt41]",-0.062,0.046,-0.149,0.024,0.001,0.001,2008.0,2490.0,1.0
"recipient_gender_condition|model_key[male, openai-gpt4o]",-0.069,0.047,-0.157,0.021,0.001,0.001,1940.0,2192.0,1.0
