model_key,RSA_hierarchical_mean,RSA_hierarchical_hdi_low,RSA_hierarchical_hdi_high
anthropic-sonnet46,1.4911604550575797,0.971839986235297,2.07685474962879
anthropic-haiku45,1.2600761097308397,0.8017903780843968,1.6727850251398417
ollama-llama32-3b,0.9715009511243627,0.45274104882807725,1.4813446496629825
ollama-gemma3-12b,0.9610501219631062,0.5638195857248723,1.344215133778039
ollama-llama32-1b,0.7159886448605012,-0.1898128347578023,1.6149882792081383
ollama-gemma3-27b,0.7058762974277507,0.4107180190588068,1.0007561477632687
ollama-gptoss-20b,0.656010346684472,0.09945484565730361,1.2330103818659541
openai-gpt4o,0.640696540295332,0.08150694934055291,1.2210585457305065
ollama-llama31-8b,0.5410419692205696,0.11952169742468965,0.9489459297473639
ollama-mistral-7b,0.5221552374389326,-0.06477210724044502,1.1411390704423177
ollama-mistral-nemo,0.500200993841645,0.06634207969702144,0.9713769163216783
ollama-qwen25-3b,0.4928733644994308,-0.25252703452219083,1.172162518735565
ollama-llama3-70b,0.46890612371536383,0.023611827303936628,0.8849262199923265
ollama-qwen25-7b,0.4597267411332704,-0.0871914817928976,1.0529847764351332
ollama-gemma2-2b,0.43239288983364677,0.0005274847117988646,0.8706273444428091
openai-gpt41,0.27285065462929287,-0.10534750287499978,0.6248946298369713
