,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|model_key[ollama-gemma3-27b],1.591,0.246,1.143,2.065,0.007,0.004,1400.0,1991.0,1.0
1|model_key[ollama-gptoss-20b],-1.585,0.339,-2.271,-0.997,0.007,0.005,2173.0,2933.0,1.0
1|model_key[ollama-llama3-70b],-0.16,0.273,-0.677,0.337,0.007,0.004,1650.0,2576.0,1.0
1|model_key[ollama-llama31-8b],0.268,0.256,-0.193,0.769,0.007,0.004,1449.0,2298.0,1.0
1|model_key[ollama-llama32-1b],0.904,0.305,0.336,1.467,0.007,0.004,1816.0,2395.0,1.0
1|model_key[ollama-llama32-3b],0.479,0.255,0.026,0.981,0.007,0.004,1379.0,2222.0,1.0
1|model_key[ollama-mistral-7b],-0.099,0.269,-0.59,0.425,0.007,0.004,1559.0,2566.0,1.0
1|model_key[ollama-mistral-nemo],-0.325,0.263,-0.842,0.151,0.007,0.004,1484.0,2412.0,1.0
1|model_key[ollama-qwen25-3b],-0.287,0.249,-0.782,0.156,0.007,0.004,1301.0,2118.0,1.0
1|model_key[ollama-qwen25-7b],-0.335,0.255,-0.81,0.143,0.007,0.004,1373.0,2548.0,1.0
1|model_key[openai-gpt41],-0.654,0.267,-1.148,-0.148,0.007,0.004,1562.0,2564.0,1.0
1|model_key[openai-gpt4o],-0.916,0.288,-1.417,-0.343,0.007,0.004,1746.0,2698.0,1.0
"recipient_gender_condition|model_key[male, anthropic-haiku45]",0.016,0.172,-0.312,0.338,0.003,0.002,4164.0,3257.0,1.0
"recipient_gender_condition|model_key[male, anthropic-sonnet46]",0.34,0.187,0.01,0.722,0.003,0.003,4133.0,3026.0,1.0
"recipient_gender_condition|model_key[male, ollama-gemma2-2b]",-0.164,0.223,-0.58,0.263,0.003,0.003,5115.0,3236.0,1.0
"recipient_gender_condition|model_key[male, ollama-gemma3-12b]",0.566,0.256,0.096,1.04,0.004,0.004,4345.0,2835.0,1.0
"recipient_gender_condition|model_key[male, ollama-gemma3-27b]",-0.081,0.196,-0.467,0.266,0.003,0.003,4193.0,3047.0,1.0
"recipient_gender_condition|model_key[male, ollama-gptoss-20b]",-0.101,0.304,-0.658,0.476,0.004,0.005,6572.0,3074.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama3-70b]",0.116,0.239,-0.311,0.585,0.003,0.004,5959.0,3247.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama31-8b]",-0.348,0.22,-0.732,0.091,0.003,0.003,5145.0,3383.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama32-1b]",0.039,0.272,-0.463,0.551,0.003,0.004,6548.0,3148.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama32-3b]",0.508,0.214,0.116,0.926,0.003,0.003,4363.0,3186.0,1.0
"recipient_gender_condition|model_key[male, ollama-mistral-7b]",0.281,0.23,-0.161,0.712,0.003,0.004,5544.0,2845.0,1.0
"recipient_gender_condition|model_key[male, ollama-mistral-nemo]",-0.232,0.228,-0.673,0.184,0.003,0.004,5740.0,3547.0,1.0
"recipient_gender_condition|model_key[male, ollama-qwen25-3b]",-0.196,0.208,-0.571,0.207,0.003,0.003,4931.0,3646.0,1.0
"recipient_gender_condition|model_key[male, ollama-qwen25-7b]",-0.193,0.21,-0.608,0.184,0.003,0.003,4948.0,3275.0,1.0
"recipient_gender_condition|model_key[male, openai-gpt41]",-0.138,0.235,-0.605,0.276,0.003,0.004,6362.0,3166.0,1.0
"recipient_gender_condition|model_key[male, openai-gpt4o]",-0.444,0.291,-0.972,0.1,0.004,0.005,4636.0,2593.0,1.0
