,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|model_key[ollama-gemma3-27b],-0.61,0.295,-1.182,-0.09,0.01,0.007,864.0,1443.0,1.01
1|model_key[ollama-gptoss-20b],-1.121,0.355,-1.774,-0.459,0.011,0.006,1136.0,1977.0,1.01
1|model_key[ollama-llama3-70b],0.046,0.317,-0.566,0.617,0.01,0.006,916.0,1614.0,1.01
1|model_key[ollama-llama31-8b],0.35,0.313,-0.22,0.949,0.01,0.006,913.0,1671.0,1.01
1|model_key[ollama-llama32-1b],1.65,0.556,0.626,2.724,0.01,0.008,3099.0,2692.0,1.0
1|model_key[ollama-llama32-3b],0.482,0.326,-0.129,1.079,0.01,0.006,1009.0,1810.0,1.01
1|model_key[ollama-mistral-7b],0.619,0.347,-0.047,1.252,0.01,0.006,1100.0,1908.0,1.0
1|model_key[ollama-mistral-nemo],0.159,0.323,-0.441,0.765,0.01,0.006,949.0,1531.0,1.01
1|model_key[ollama-qwen25-3b],1.955,0.406,1.22,2.751,0.01,0.006,1502.0,2281.0,1.0
1|model_key[ollama-qwen25-7b],0.419,0.346,-0.251,1.053,0.01,0.006,1094.0,1973.0,1.01
1|model_key[openai-gpt41],0.179,0.303,-0.424,0.723,0.01,0.006,886.0,1517.0,1.01
1|model_key[openai-gpt4o],-0.33,0.351,-1.012,0.293,0.01,0.006,1147.0,1931.0,1.0
"recipient_gender_condition|model_key[male, anthropic-haiku45]",0.563,0.239,0.13,1.024,0.004,0.003,4246.0,3337.0,1.0
"recipient_gender_condition|model_key[male, anthropic-sonnet46]",0.794,0.296,0.237,1.337,0.005,0.004,3535.0,2754.0,1.0
"recipient_gender_condition|model_key[male, ollama-gemma2-2b]",-0.264,0.233,-0.71,0.16,0.003,0.004,4666.0,3396.0,1.0
"recipient_gender_condition|model_key[male, ollama-gemma3-12b]",0.264,0.221,-0.165,0.669,0.004,0.003,3916.0,2661.0,1.0
"recipient_gender_condition|model_key[male, ollama-gemma3-27b]",0.009,0.182,-0.337,0.332,0.003,0.002,3443.0,3640.0,1.0
"recipient_gender_condition|model_key[male, ollama-gptoss-20b]",-0.041,0.294,-0.604,0.507,0.004,0.005,6896.0,3126.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama3-70b]",-0.228,0.235,-0.68,0.211,0.003,0.004,4941.0,3186.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama31-8b]",-0.156,0.229,-0.63,0.243,0.003,0.003,4814.0,3400.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama32-1b]",0.019,0.425,-0.791,0.85,0.005,0.009,8854.0,2839.0,1.0
"recipient_gender_condition|model_key[male, ollama-llama32-3b]",0.275,0.267,-0.227,0.78,0.003,0.004,5933.0,3276.0,1.0
"recipient_gender_condition|model_key[male, ollama-mistral-7b]",-0.175,0.301,-0.737,0.39,0.003,0.004,7837.0,3388.0,1.0
"recipient_gender_condition|model_key[male, ollama-mistral-nemo]",-0.197,0.248,-0.676,0.256,0.003,0.004,5688.0,2943.0,1.0
"recipient_gender_condition|model_key[male, ollama-qwen25-3b]",-0.204,0.35,-0.832,0.473,0.004,0.006,6706.0,3196.0,1.0
"recipient_gender_condition|model_key[male, ollama-qwen25-7b]",-0.237,0.292,-0.81,0.3,0.004,0.004,5535.0,3014.0,1.0
"recipient_gender_condition|model_key[male, openai-gpt41]",-0.424,0.209,-0.838,-0.05,0.003,0.003,3970.0,3526.0,1.0
"recipient_gender_condition|model_key[male, openai-gpt4o]",-0.056,0.285,-0.555,0.512,0.004,0.004,6120.0,3042.0,1.0
