model_key,RSA_hierarchical_mean,RSA_hierarchical_hdi_low,RSA_hierarchical_hdi_high
anthropic-sonnet46,0.3404652425156553,0.25896264118654483,0.4308555878510417
ollama-llama3-70b,0.2865857866519906,0.20949646608455164,0.3574519190834964
ollama-gptoss-20b,0.23144045705993765,0.13863805282046007,0.3329621008907583
ollama-gemma3-27b,0.20386412953157707,0.1270989590494413,0.27774091632403525
ollama-llama32-3b,0.20040396912033095,0.12825611794626038,0.2811099299912674
ollama-llama31-8b,0.19925482629785682,0.12199444233509651,0.27447314250240584
ollama-qwen25-7b,0.16930407669086375,0.09377527342830722,0.24680304314426957
ollama-gemma3-12b,0.14615553087116273,0.0745229620342869,0.22632570586461262
ollama-mistral-nemo,0.13913529062705374,0.06539632242680361,0.21402893159505654
anthropic-haiku45,0.1284615503308827,0.05028190099385396,0.2032507460285215
ollama-llama32-1b,0.09664091583729573,-0.029526426220010366,0.23932052267600587
openai-gpt41,0.09045695577404425,0.015800494217369593,0.1722657033526872
openai-gpt4o,0.08317174063787287,0.003361408851791259,0.15983164606084596
ollama-mistral-7b,0.04731539426981072,-0.024807710472922656,0.12857051461025376
ollama-qwen25-3b,0.046467299023391286,-0.029461905913486075,0.12558349450110112
ollama-gemma2-2b,0.023002103388812613,-0.05664250944175385,0.10381642018080348
