narrator_role,child_label,dyad_type,mean,ci_low,ci_high,n
female,daughter,same-gender,2.213578963838761,2.1658911238706566,2.2594965234779694,2075
female,son,cross-gender,-0.47995577796711264,-0.5236933154611769,-0.43553139895518006,2076
male,daughter,cross-gender,2.0171894720234,1.959138334267885,2.0725769507286866,1653
male,son,same-gender,-0.1580491767393835,-0.20831159030964078,-0.11054868274752652,1655
