country_region,n_daughter,n_son,daughter_mean,son_mean,gap,ci_low,ci_high,cohens_d,cliffs_delta,t_stat,p_value,p_fdr,sig_fdr
East/SE Asia,993,993,2.169153985901853,-0.3514448330131477,2.520598818915001,2.418935688028231,2.6091096689271063,2.3069683765171027,0.8690217220442392,51.37862529881513,0.0,0.0,True
Europe/Oceania,1135,1138,2.098948154893267,-0.3694579601121734,2.4684061150054406,2.3760230589643134,2.555058412293949,2.259377856481967,0.8602316452854145,53.826873602469256,0.0,0.0,True
Latin America,569,568,2.113812088931874,-0.41520116639169397,2.529013255323568,2.40416005744922,2.655920165008634,2.393270553815166,0.8876302631253249,40.31682060388265,6.105995820054057e-221,8.54839414807568e-221,True
MENA,852,851,2.1940502973129665,-0.3063927727237774,2.500443070036744,2.4003535482365863,2.59778809477365,2.3225530037707403,0.8580929367824652,47.89884565629046,0.0,0.0,True
North America,286,282,2.109816770445869,-0.3167105873148081,2.4265273577606767,2.2344573636742027,2.6092511653920023,2.15378895481658,0.8470217725536875,25.63179040410963,1.1203495926968884e-96,1.1203495926968884e-96,True
South Asia,428,429,2.1949951455173364,-0.4463701477926128,2.641365293309949,2.4896838507842864,2.7892696802681423,2.324159723056761,0.8675576759688909,33.975227822680594,3.8307097389336234e-160,4.4691613620892274e-160,True
Sub-Saharan Africa,706,706,2.0979327889596044,-0.29177381547029774,2.389706604429902,2.2731220110420223,2.4960163064106085,2.199151112852631,0.8520592413068077,41.28902557807496,5.084619475513894e-244,8.898084082149315e-244,True
