country_region,n_daughter,n_son,daughter_mean,son_mean,gap,ci_low,ci_high,cohens_d,cliffs_delta,t_stat,p_value,p_fdr,sig_fdr
East/SE Asia,1329,1329,0.24750684490599562,0.06492984818024981,0.1825769967257458,0.1284911940185858,0.23022577006892392,0.26894083918732187,0.13250173673921056,6.9301206576837755,5.282937563460013e-12,1.2326854314740032e-11,True
Europe/Oceania,1519,1522,0.2520230363877614,0.08887936093991204,0.16314367544784936,0.1173169078935545,0.21001142302023804,0.25462267396244853,0.11506247193888365,7.01707738788504,2.8000229742279878e-12,1.0117700422730754e-11,True
Latin America,761,760,0.26557838930699545,0.08219222040193294,0.1833861689050625,0.11791335593857524,0.25017383917354336,0.27475529012766614,0.12084514835050833,5.354498131236449,9.906114572536717e-08,1.7335700501939255e-07,True
MENA,1140,1139,0.3029205069054396,0.10328389370809145,0.19963661319734816,0.14796870917815558,0.2573536758723687,0.2943087857448124,0.12861389646196264,7.022443377055351,2.8907715493516438e-12,1.0117700422730754e-11,True
North America,382,378,0.26659572825666555,-0.023235086113731512,0.28983081437039704,0.1785975175516105,0.40142709784583225,0.35926055038907034,0.17139671459043188,4.948264196043346,9.24796623417931e-07,1.0789293939875862e-06,True
South Asia,572,573,0.3273227133432682,0.11862982247806315,0.20869289086520504,0.1283677483608734,0.2914486337608358,0.29839547898319213,0.1296238665348613,5.043400341865164,5.336210674806634e-07,7.470694944729288e-07,True
Sub-Saharan Africa,946,946,0.22257741860916774,0.07029916807901702,0.1522782505301507,0.08321370981513741,0.2197367133887057,0.20137131356181956,0.10714189935144751,4.3772213618374565,1.2687861563803638e-05,1.2687861563803638e-05,True
