country_region,n_daughter,n_son,daughter_mean,son_mean,gap,ci_low,ci_high,cohens_d,cliffs_delta,t_stat,p_value,p_fdr,sig_fdr
East/SE Asia,1329,1329,1.3155257933174989,-2.168313041714919,3.483838835032418,3.075345662331711,3.918369321846585,0.6456414640137643,0.37372023410168825,16.637016731924625,5.050504521299646e-59,1.1784510549699176e-58,True
Europe/Oceania,1519,1522,1.6542611565668934,-1.6568089911709634,3.3110701477378566,2.940204220558771,3.6665437910816765,0.6225178356087175,0.3668508139129502,17.162651210873967,5.976164511598137e-63,2.091657579059348e-62,True
Latin America,761,760,1.4708599507504152,-2.333400479179157,3.804260429929572,3.1646177517368406,4.40793670086089,0.6291400459692833,0.4026869078082855,12.256625898741222,9.974888928771841e-33,1.3964844500280578e-32,True
MENA,1140,1139,1.5782774689714374,-2.460382422191167,4.038659891162604,3.5758170265069116,4.4685210086000735,0.7297983263628679,0.4205820741493769,17.410367644954913,1.2993148500425155e-63,9.095203950297609e-63,True
North America,382,378,1.7218937731862807,-2.883148064679308,4.605041837865588,3.8276321629068075,5.338786152197981,0.841146864888913,0.4670766503227236,11.554558573837333,3.257034853909128e-28,3.7998739962273165e-28,True
South Asia,572,573,1.6939887872088177,-1.9428704366796945,3.6368592238885125,2.962702731077699,4.381204649263994,0.6130679729789086,0.36403910225899755,10.367051612839553,5.702697421398939e-24,5.702697421398939e-24,True
Sub-Saharan Africa,946,946,0.7974468233388152,-2.562041127162074,3.359487950500889,2.8393241091193113,3.848695642437413,0.5959118345418188,0.3555696847525354,12.953374355085293,9.52788408988659e-37,1.6673797157301534e-36,True
