metric,interaction_coef,interaction_ci_low,interaction_ci_high,interaction_p,r_squared
pmi_role_score,-0.7525788627146219,-1.1747355370274981,-0.33042218840174564,0.0004770986031037528,0.19063872331706433
pmi_domain_score,-0.2909773136062752,-0.6464557143610472,0.06450108714849673,0.10862984597886477,0.07534075947894059
pmi_trait_score,-0.06674323011149011,-0.1194901312506122,-0.013996328972368015,0.013142127270159175,0.09630332645365158
