id,model_key,model_family,model_params,protagonist_gender,country,region,person,word_count,pca_x,pca_y,tsne_x,tsne_y,tsne3_x,tsne3_y,tsne3_z
ollama-qwen25-3b_Father_Canada_female,ollama-qwen25-3b,qwen,3B,female,Canada,North America,Father,159,1.5512536,0.5898106,-8.883262,-33.942776,23.644142,-2.096164,24.16415
ollama-gemma2-2b_Father_Canada_female,ollama-gemma2-2b,gemma,2B,female,Canada,North America,Father,208,-1.2470356,1.6896362,27.763014,-28.698664,6.560214,-34.827156,-3.8235219
ollama-gemma3-27b_Father_Canada_female,ollama-gemma3-27b,gemma,27B,female,Canada,North America,Father,179,-1.4084415,-0.84963983,42.591442,5.9822574,-20.20367,10.88253,-31.762918
ollama-gptoss-20b_Father_Canada_female,ollama-gptoss-20b,gpt-oss,20B,female,Canada,North America,Father,159,1.108752,0.5828407,-26.628906,-2.877859,28.684078,8.379636,4.883418
ollama-llama31-8b_Father_Canada_male,ollama-llama31-8b,llama,8B,male,Canada,North America,Father,143,1.7971624,-0.46689183,-10.295104,22.58473,-2.616174,24.630873,1.0933537
ollama-llama32-3b_Father_Canada_male,ollama-llama32-3b,llama,3B,male,Canada,North America,Father,183,0.48542696,1.1141729,-9.607581,23.278036,-3.7797382,27.087927,1.9575124
ollama-llama3-70b_Father_Canada_male,ollama-llama3-70b,llama,70B,male,Canada,North America,Father,195,2.291858,0.8996993,-9.293139,23.34697,-5.155864,26.427216,0.5751978
ollama-mistral-7b_Father_Canada_male,ollama-mistral-7b,mistral,7B,male,Canada,North America,Father,208,1.7465422,1.0884991,-39.945786,24.706663,18.678146,18.695314,12.929121
ollama-qwen25-7b_Father_Canada_male,ollama-qwen25-7b,qwen,7B,male,Canada,North America,Father,179,1.9864339,1.4967926,-13.209348,-37.388718,17.143726,10.542735,22.508812
ollama-qwen25-3b_Father_Canada_male,ollama-qwen25-3b,qwen,3B,male,Canada,North America,Father,157,0.9554504,1.7664468,1.9984647,-32.029747,3.1076174,-16.223824,21.073118
ollama-gemma2-2b_Father_Canada_male,ollama-gemma2-2b,gemma,2B,male,Canada,North America,Father,203,0.65939444,2.2679846,11.285689,-33.89133,25.138657,3.5956492,20.36438
ollama-gemma3-12b_Father_Canada_male,ollama-gemma3-12b,gemma,12B,male,Canada,North America,Father,197,-1.4023215,2.5336673,29.391634,19.437399,3.488614,18.106358,-25.87218
ollama-gemma3-27b_Father_Canada_male,ollama-gemma3-27b,gemma,27B,male,Canada,North America,Father,185,0.03760016,1.7676845,34.281204,21.074331,-1.0930737,30.501038,-18.378998
ollama-gptoss-20b_Father_Canada_male,ollama-gptoss-20b,gpt-oss,20B,male,Canada,North America,Father,145,0.95526725,0.510243,-27.078987,-4.0282807,31.290617,6.216009,0.08613973
ollama-llama31-8b_Father_Mexico_female,ollama-llama31-8b,llama,8B,female,Mexico,Latin America,Father,174,-1.1809903,-2.294533,9.665068,27.810545,-3.6270912,-15.919315,-23.806772
ollama-llama32-3b_Father_Mexico_female,ollama-llama32-3b,llama,3B,female,Mexico,Latin America,Father,189,-1.8661637,-1.6120064,14.240533,29.007193,0.98966366,-18.469427,-20.219307
ollama-llama3-70b_Father_Mexico_female,ollama-llama3-70b,llama,70B,female,Mexico,Latin America,Father,188,-1.1028315,-1.611563,10.325962,26.262207,-4.609361,-16.166632,-22.112022
ollama-mistral-7b_Father_Mexico_female,ollama-mistral-7b,mistral,7B,female,Mexico,Latin America,Father,207,1.8895495,0.25456935,-5.05021,-33.254787,20.433508,-12.620495,25.092552
ollama-qwen25-7b_Father_Mexico_female,ollama-qwen25-7b,qwen,7B,female,Mexico,Latin America,Father,207,0.92205954,-0.79843956,-4.9272175,-7.1134663,6.761756,-0.9739383,8.169943
ollama-qwen25-3b_Father_Mexico_female,ollama-qwen25-3b,qwen,3B,female,Mexico,Latin America,Father,93,-0.74489045,-0.49300605,8.329776,-25.090944,11.844783,-17.329304,4.85541
ollama-gemma2-2b_Father_Mexico_female,ollama-gemma2-2b,gemma,2B,female,Mexico,Latin America,Father,207,-1.51413,-0.80629617,11.806226,-29.843748,17.871723,-23.750296,10.810844
ollama-gemma3-12b_Father_Mexico_female,ollama-gemma3-12b,gemma,12B,female,Mexico,Latin America,Father,203,-2.8096972,-0.330976,18.395882,17.147701,-1.140275,1.7932382,-17.730677
ollama-gemma3-27b_Father_Mexico_female,ollama-gemma3-27b,gemma,27B,female,Mexico,Latin America,Father,170,-1.8835948,-2.8594027,48.843697,3.8838978,-10.006954,8.222017,-19.67716
ollama-llama31-8b_Father_Mexico_male,ollama-llama31-8b,llama,8B,male,Mexico,Latin America,Father,164,-1.1291561,-0.9530551,22.90905,7.7644825,5.0192947,1.2230097,-26.064756
ollama-llama32-3b_Father_Mexico_male,ollama-llama32-3b,llama,3B,male,Mexico,Latin America,Father,187,0.2646857,0.29586336,-17.903679,32.891148,12.627553,-11.914626,-17.723055
ollama-llama3-70b_Father_Mexico_male,ollama-llama3-70b,llama,70B,male,Mexico,Latin America,Father,179,-0.5781982,-1.944344,2.8806198,31.697044,11.69802,-5.975101,-19.656696
ollama-mistral-7b_Father_Mexico_male,ollama-mistral-7b,mistral,7B,male,Mexico,Latin America,Father,194,2.8456187,0.6065157,-28.914703,24.770493,6.819235,23.827988,9.7097025
ollama-qwen25-7b_Father_Mexico_male,ollama-qwen25-7b,qwen,7B,male,Mexico,Latin America,Father,154,0.32311577,1.5667794,11.933086,-25.486717,13.517393,-20.693426,3.9167986
ollama-qwen25-3b_Father_Mexico_male,ollama-qwen25-3b,qwen,3B,male,Mexico,Latin America,Father,143,0.12968826,1.0219835,0.60159403,-41.010864,18.840454,-8.902151,33.375793
ollama-gemma2-2b_Father_Mexico_male,ollama-gemma2-2b,gemma,2B,male,Mexico,Latin America,Father,205,-0.86249524,2.1691585,12.688858,-27.19153,15.21084,-23.684393,5.674752
ollama-gemma3-12b_Father_Mexico_male,ollama-gemma3-12b,gemma,12B,male,Mexico,Latin America,Father,197,-3.121541,-0.53138745,53.661667,0.8158278,-10.102605,-8.591822,-28.336142
ollama-gemma3-27b_Father_Mexico_male,ollama-gemma3-27b,gemma,27B,male,Mexico,Latin America,Father,182,-2.5083897,0.6265662,52.073105,7.4034686,-4.881565,-1.966417,-32.411743
ollama-gptoss-20b_Father_Mexico_male,ollama-gptoss-20b,gpt-oss,20B,male,Mexico,Latin America,Father,132,1.3467878,0.77920544,-25.897207,-4.1850953,26.808294,6.5609875,-0.9965032
ollama-llama31-8b_Father_Brazil_female,ollama-llama31-8b,llama,8B,female,Brazil,Latin America,Father,160,-0.15490296,-0.9316732,15.83696,-21.188868,10.718775,-24.932674,-3.5025566
ollama-llama32-3b_Father_Brazil_female,ollama-llama32-3b,llama,3B,female,Brazil,Latin America,Father,185,-1.2937311,-1.7853904,7.177219,21.745495,-16.010086,-13.125673,-5.656313
ollama-llama3-70b_Father_Brazil_female,ollama-llama3-70b,llama,70B,female,Brazil,Latin America,Father,208,0.1346235,-1.8125093,-6.477154,13.593599,5.2679887,3.5737379,-10.703875
ollama-mistral-7b_Father_Brazil_female,ollama-mistral-7b,mistral,7B,female,Brazil,Latin America,Father,198,1.2188288,-1.5766954,-0.2735301,-3.821817,-13.768057,-16.460724,-14.089157
ollama-qwen25-7b_Father_Brazil_female,ollama-qwen25-7b,qwen,7B,female,Brazil,Latin America,Father,203,-0.31217226,-1.3514876,-18.53776,-21.32497,16.796068,-4.3971577,17.765633
ollama-qwen25-3b_Father_Brazil_female,ollama-qwen25-3b,qwen,3B,female,Brazil,Latin America,Father,196,0.105191834,0.52074504,13.161066,-21.237963,8.9366045,-20.772564,-1.7219126
ollama-gemma2-2b_Father_Brazil_female,ollama-gemma2-2b,gemma,2B,female,Brazil,Latin America,Father,183,-2.34729,2.0016246,23.088417,-29.734713,12.364274,-31.0031,-4.0451264
ollama-gemma3-12b_Father_Brazil_female,ollama-gemma3-12b,gemma,12B,female,Brazil,Latin America,Father,198,-2.511662,-0.776483,45.7281,-1.7262412,-17.943624,0.43183714,-24.469719
ollama-gemma3-27b_Father_Brazil_female,ollama-gemma3-27b,gemma,27B,female,Brazil,Latin America,Father,155,-2.7490845,-0.7224307,52.538006,-5.1381135,-8.818477,4.121806,-18.511026
ollama-gptoss-20b_Father_Brazil_female,ollama-gptoss-20b,gpt-oss,20B,female,Brazil,Latin America,Father,136,0.1377055,-0.5957126,-26.304762,-9.635729,30.102402,-2.1813226,-2.2472394
ollama-llama31-8b_Father_Brazil_male,ollama-llama31-8b,llama,8B,male,Brazil,Latin America,Father,192,1.2257972,0.057639852,-10.823647,8.438127,4.115565,8.901851,9.003449
ollama-llama32-3b_Father_Brazil_male,ollama-llama32-3b,llama,3B,male,Brazil,Latin America,Father,187,0.7292221,-0.69006777,-43.342495,-16.75475,23.747211,-21.502748,17.599253
ollama-llama3-70b_Father_Brazil_male,ollama-llama3-70b,llama,70B,male,Brazil,Latin America,Father,188,0.76764596,-1.291045,-14.966983,21.48528,9.313747,14.92023,-8.562068
ollama-mistral-nemo_Father_Brazil_male,ollama-mistral-nemo,mistral,12B,male,Brazil,Latin America,Father,199,-0.5891138,2.362456,11.377716,-24.11208,6.6670995,-23.745712,5.587787
ollama-mistral-7b_Father_Brazil_male,ollama-mistral-7b,mistral,7B,male,Brazil,Latin America,Father,187,2.5518575,0.17308904,-30.632477,20.574526,15.464994,23.011711,15.021143
ollama-qwen25-7b_Father_Brazil_male,ollama-qwen25-7b,qwen,7B,male,Brazil,Latin America,Father,205,1.6995535,0.18704867,-8.65717,-36.989185,17.963135,5.1241612,2.8689198
ollama-qwen25-3b_Father_Brazil_male,ollama-qwen25-3b,qwen,3B,male,Brazil,Latin America,Father,93,0.9993941,0.08424085,-7.543814,-29.768414,15.360773,-5.897227,19.94487
ollama-gemma2-2b_Father_Brazil_male,ollama-gemma2-2b,gemma,2B,male,Brazil,Latin America,Father,188,-1.1719482,1.4751515,18.485785,-26.064392,12.059904,-29.674362,-2.3644495
ollama-gemma3-12b_Father_Brazil_male,ollama-gemma3-12b,gemma,12B,male,Brazil,Latin America,Father,197,-1.5910711,2.6385684,39.30799,19.67857,-4.2896957,25.901583,-19.989502
ollama-gemma3-27b_Father_Brazil_male,ollama-gemma3-27b,gemma,27B,male,Brazil,Latin America,Father,201,-1.5971249,1.0323005,41.193306,16.41491,8.136965,2.2649145,-35.378017
ollama-llama31-8b_Father_Argentina_female,ollama-llama31-8b,llama,8B,female,Argentina,Latin America,Father,176,-1.0493282,0.17122152,18.552902,24.90128,9.045298,-17.531742,-16.917
ollama-llama32-3b_Father_Argentina_female,ollama-llama32-3b,llama,3B,female,Argentina,Latin America,Father,186,1.0760959,-2.7746272,11.420733,30.834906,4.958419,-13.296427,-25.548597
ollama-llama3-70b_Father_Argentina_female,ollama-llama3-70b,llama,70B,female,Argentina,Latin America,Father,201,0.46426716,-1.8119686,9.585807,29.69479,2.911435,-12.375762,-21.310896
ollama-mistral-nemo_Father_Argentina_female,ollama-mistral-nemo,mistral,12B,female,Argentina,Latin America,Father,189,-0.15420657,1.5187097,16.402908,-20.305386,7.359726,-24.021654,-7.688379
ollama-mistral-7b_Father_Argentina_female,ollama-mistral-7b,mistral,7B,female,Argentina,Latin America,Father,198,1.3318708,-0.51098734,25.250006,32.91424,14.805787,1.9965425,-31.372236
ollama-qwen25-7b_Father_Argentina_female,ollama-qwen25-7b,qwen,7B,female,Argentina,Latin America,Father,170,-0.53649276,-1.5025747,7.632054,30.018562,5.7585106,-17.176668,-23.546066
ollama-qwen25-3b_Father_Argentina_female,ollama-qwen25-3b,qwen,3B,female,Argentina,Latin America,Father,206,1.2982306,-1.2624412,1.4562297,-17.713346,12.361389,-8.394795,5.2630363
ollama-gemma2-2b_Father_Argentina_female,ollama-gemma2-2b,gemma,2B,female,Argentina,Latin America,Father,200,-2.5028017,-0.42277294,20.698318,33.684177,16.861425,-4.359599,-32.27332
ollama-gemma3-12b_Father_Argentina_female,ollama-gemma3-12b,gemma,12B,female,Argentina,Latin America,Father,199,-2.654619,-0.80731446,53.05806,-0.75805706,-10.569656,-9.933077,-24.399946
ollama-gemma3-27b_Father_Argentina_female,ollama-gemma3-27b,gemma,27B,female,Argentina,Latin America,Father,182,-2.1668506,-0.4622966,50.968403,-0.24486226,-15.143384,-6.361707,-26.905872
ollama-gptoss-20b_Father_Argentina_female,ollama-gptoss-20b,gpt-oss,20B,female,Argentina,Latin America,Father,185,1.3475657,0.23597994,-22.469618,1.9017551,25.565737,14.667439,-7.590739
ollama-llama31-8b_Father_Argentina_male,ollama-llama31-8b,llama,8B,male,Argentina,Latin America,Father,139,-0.31829625,-0.5744769,4.885226,32.60351,8.717323,-6.895623,-23.802631
ollama-llama32-3b_Father_Argentina_male,ollama-llama32-3b,llama,3B,male,Argentina,Latin America,Father,180,-1.132034,0.6701379,52.537132,8.522508,-1.3480017,-1.4380703,-30.715508
ollama-llama3-70b_Father_Argentina_male,ollama-llama3-70b,llama,70B,male,Argentina,Latin America,Father,179,1.194253,0.41545945,-16.927114,22.82358,11.489195,0.18803868,-20.951221
ollama-mistral-nemo_Father_Argentina_male,ollama-mistral-nemo,mistral,12B,male,Argentina,Latin America,Father,194,2.1007235,0.22279865,-20.403812,8.112979,13.105844,13.652923,-9.94295
ollama-mistral-7b_Father_Argentina_male,ollama-mistral-7b,mistral,7B,male,Argentina,Latin America,Father,171,3.2425625,0.2002167,-30.785685,17.542526,17.59851,23.058075,16.248898
ollama-qwen25-7b_Father_Argentina_male,ollama-qwen25-7b,qwen,7B,male,Argentina,Latin America,Father,195,0.97807956,1.9004047,-5.488696,-39.41321,25.795437,-9.138297,20.44302
ollama-qwen25-3b_Father_Argentina_male,ollama-qwen25-3b,qwen,3B,male,Argentina,Latin America,Father,155,-0.57160515,1.5834489,-6.3447886,-40.665123,27.364386,-6.000334,17.777382
ollama-gemma2-2b_Father_Argentina_male,ollama-gemma2-2b,gemma,2B,male,Argentina,Latin America,Father,203,-0.3292908,1.3577688,15.064974,-32.732754,12.623441,-38.391365,1.1671594
ollama-gemma3-12b_Father_Argentina_male,ollama-gemma3-12b,gemma,12B,male,Argentina,Latin America,Father,187,-0.7113458,2.5841131,44.397552,22.990936,4.5475416,-2.2939806,-37.026287
ollama-gemma3-27b_Father_Argentina_male,ollama-gemma3-27b,gemma,27B,male,Argentina,Latin America,Father,193,-1.2230053,1.6563551,27.39668,17.960588,6.738852,-5.73808,-33.855396
ollama-gptoss-20b_Father_Argentina_male,ollama-gptoss-20b,gpt-oss,20B,male,Argentina,Latin America,Father,167,0.06947516,2.228233,17.17237,-23.114948,20.992493,-18.852922,-6.4997144
ollama-llama31-8b_Father_Colombia_female,ollama-llama31-8b,llama,8B,female,Colombia,Latin America,Father,179,-0.9251994,-1.4086154,7.844798,24.791327,0.9986621,-22.07106,-25.328405
ollama-llama32-3b_Father_Colombia_female,ollama-llama32-3b,llama,3B,female,Colombia,Latin America,Father,196,-1.1133438,-2.5213661,8.606779,28.133663,1.7533516,-19.04426,-24.106533
ollama-llama3-70b_Father_Colombia_female,ollama-llama3-70b,llama,70B,female,Colombia,Latin America,Father,190,0.5400629,-2.4933693,6.019922,29.337969,3.6611323,-7.180252,-20.107433
ollama-mistral-7b_Father_Colombia_female,ollama-mistral-7b,mistral,7B,female,Colombia,Latin America,Father,181,1.7241318,0.27120227,-33.8296,27.832602,9.376067,33.652256,9.199474
ollama-qwen25-7b_Father_Colombia_female,ollama-qwen25-7b,qwen,7B,female,Colombia,Latin America,Father,112,-0.4540846,-0.44156903,2.2282693,-17.681297,12.368187,-10.628187,4.39454
ollama-qwen25-3b_Father_Colombia_female,ollama-qwen25-3b,qwen,3B,female,Colombia,Latin America,Father,208,0.38684168,-0.02171041,1.7887976,-23.930199,4.475397,-13.729331,12.342231
