model_key,country,axis,intercept_1,N,C,P,NC,NP,CP,NCP
anthropic-haiku45,Argentina,domain,-0.35464090542216903,0.06385320297074885,-0.3385062751377763,-0.3385062751377763,-0.06385320297074883,-0.06385320297074885,0.3385062751377763,0.06385320297074885
anthropic-haiku45,Argentina,role,2.232612174831239,-0.0654207872740653,0.044355701369630296,-0.23197522944439375,-0.0999583718942696,0.09284551658817142,0.3518684995098654,0.02704775347730015
anthropic-haiku45,Argentina,trait,-0.4184941083929179,1.3877787807814457e-17,0.2746530721670274,-1.3877787807814457e-17,-1.3877787807814457e-17,0.2746530721670274,-1.3877787807814457e-17,0.2746530721670274
anthropic-haiku45,Australia,domain,-0.21731436933865528,-0.07347333311276484,-0.07347333311276487,-0.47583281122129,0.47583281122129,0.07347333311276487,0.07347333311276487,-0.47583281122128995
anthropic-haiku45,Australia,role,1.8985949224283252,0.08893703990351776,0.11630809811393983,0.03876936603797998,0.1664757719794776,0.08893703990351776,-0.03876936603797987,0.1664757719794776
anthropic-haiku45,Australia,trait,-0.6931471805599453,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
anthropic-haiku45,Brazil,domain,-0.2907877024514202,0.4023594781085251,0.0,-0.4023594781085251,0.0,-0.4023594781085251,1.3877787807814457e-17,1.3877787807814457e-17
anthropic-haiku45,Brazil,role,1.9897953907279504,0.2976182143105745,0.27655312840613966,0.14285841220901876,-0.14285841220901885,0.45661540599057376,0.2516879300234802,-0.301855603889018
anthropic-haiku45,Brazil,trait,-0.6931471805599453,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
anthropic-haiku45,Canada,domain,0.36772033797070675,0.02508383693276886,0.025083836932768888,-1.0608675185306522,0.0879124440029954,-0.025083836932768902,-0.025083836932768874,-0.08791244400299543
anthropic-haiku45,Canada,role,2.217184202981176,-0.22269753812409054,0.0822957482940036,-0.6191264193725279,-0.08461057964720292,-0.29083339529979585,-0.046520537383835325,-0.11940074957357194
anthropic-haiku45,Canada,trait,-0.5558206444764315,-0.1373265360835137,0.1373265360835137,-0.1373265360835137,-0.1373265360835137,0.1373265360835137,-0.1373265360835137,0.1373265360835137
anthropic-haiku45,China,domain,0.21974907584465464,0.038769366037979924,-0.23588370612904747,-0.9128962564046,0.08893703990351773,-0.038769366037979966,0.23588370612904752,-0.08893703990351774
anthropic-haiku45,China,role,2.207748910926433,-0.02145515608375892,0.11518077050825853,-0.19524751256893724,0.04305130963346426,-0.02759043331278843,0.33503805515075763,0.21742270517310003
anthropic-haiku45,China,trait,-0.28116757230940415,0.1373265360835137,-0.1373265360835137,-0.1373265360835137,0.1373265360835137,0.13732653608351372,0.41197960825054114,0.1373265360835137
anthropic-haiku45,Colombia,domain,0.057338702828372126,0.0734733331127649,0.2011797390542625,-0.7504858833883175,0.07347333311276485,-0.07347333311276484,-0.2011797390542626,-0.0734733331127649
anthropic-haiku45,Colombia,role,1.938570570445325,0.030084503759481296,0.07633245009693973,-0.44715410687373974,-0.030084503759481296,0.08291177717628301,-0.06367151689225098,-0.08291177717628301
anthropic-haiku45,Colombia,trait,-0.4919674415056828,0.20117973905426256,-0.20117973905426256,-0.20117973905426256,-0.20117973905426256,-0.20117973905426256,0.20117973905426256,0.20117973905426256
anthropic-haiku45,Egypt,domain,0.8078245862166895,-0.14694666622552974,0.12770640594149768,0.27465307216702745,0.12770640594149768,-0.27465307216702745,0.0,0.0
anthropic-haiku45,Egypt,role,2.175447687281463,0.23808339881515794,-0.095666867867927,-0.05127979835760277,0.12068773250717257,-0.22915387816463828,0.24181481136932692,-0.3850300650406878
anthropic-haiku45,Egypt,trait,-0.5558206444764315,0.13732653608351372,0.1373265360835137,0.1373265360835137,0.1373265360835137,0.1373265360835137,0.1373265360835137,0.1373265360835137
anthropic-haiku45,Ethiopia,domain,0.19466523891188575,0.33850627513777626,0.06385320297074885,-0.6131593473048038,-0.48545294136330597,-0.06385320297074888,-0.33850627513777626,0.2107998691962786
anthropic-haiku45,Ethiopia,role,2.3966316196908184,0.09338334459608494,0.011580116793981021,0.07253794236132222,-0.06304313034501813,0.14716118950032137,-0.29761053999325077,-0.009265285440781812
anthropic-haiku45,Ethiopia,trait,-0.5558206444764315,-0.1373265360835137,0.1373265360835137,-0.1373265360835137,-0.1373265360835137,0.1373265360835137,-0.1373265360835137,0.1373265360835137
anthropic-haiku45,France,domain,-0.07998783325514161,-0.06385320297074884,0.33850627513777626,-0.21079986919627858,-0.33850627513777626,-0.3385062751377762,0.06385320297074883,-0.06385320297074885
anthropic-haiku45,France,role,1.9847270076927148,-0.026444600295381093,0.200444662680969,-0.2289682115876142,0.07851886109468498,0.030176012849550016,0.4707872832393699,0.09344866977009042
anthropic-haiku45,France,trait,-0.6931471805599453,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
anthropic-haiku45,Germany,domain,-0.07998783325514158,-0.21079986919627855,-0.3385062751377763,-0.3385062751377763,-0.06385320297074884,-0.06385320297074884,0.6131593473048037,-0.21079986919627858
anthropic-haiku45,Germany,role,2.0802165391237337,0.18476273879662664,0.0898903333704007,-0.2916237425033616,-0.1262445833350267,0.20978360343587227,0.06486946873115512,-0.1967513370771356
anthropic-haiku45,Germany,trait,-0.5558206444764316,0.1373265360835137,-0.1373265360835137,-0.1373265360835137,-0.1373265360835137,-0.1373265360835137,0.1373265360835137,0.1373265360835137
anthropic-haiku45,Ghana,domain,0.2092165328924372,0.013526698080029056,-0.14123310402152678,-0.6277106412853551,-0.22535116317682996,0.26112637408699835,0.41588617618855417,0.5000042353438574
anthropic-haiku45,Ghana,role,2.3410868479444664,0.13589584998370097,0.06738077392603026,-0.2238072488671335,-0.06032563201546737,-0.09610084292563575,0.10654622642937445,0.17167106089386913
anthropic-haiku45,Ghana,trait,-0.28116757230940415,-0.1373265360835137,0.1373265360835137,0.1373265360835137,0.1373265360835137,0.13732653608351367,0.41197960825054114,-0.13732653608351372
anthropic-haiku45,Greece,domain,-0.047548933819506006,-0.1591207094766109,-0.6455982467404393,-0.24323876863191418,0.15912070947661092,-0.24323876863191418,0.24323876863191418,0.24323876863191418
anthropic-haiku45,Greece,role,2.3190681495459975,0.020790260899059054,-0.030088853401071203,-0.19141588366119183,0.07874066441339017,0.18445487711839853,0.01767495578960604,0.1265044736040674
