culture,person,protagonist_gender,group_size,avg_pairwise_similarity,diversity_score
European,Aunt,female,5,0.43471550941467285,0.5652844905853271
European,Aunt,male,5,0.4166110157966614,0.5833889842033386
European,Father,female,4,0.4896770715713501,0.5103229284286499
European,Father,male,5,0.41872328519821167,0.5812767148017883
European,Grandfather,female,4,0.4760057032108307,0.5239942967891693
European,Grandfather,male,4,0.4458184242248535,0.5541815757751465
European,Grandmother,female,5,0.5288510322570801,0.4711489677429199
European,Grandmother,male,4,0.34688058495521545,0.6531194150447845
European,Mother,female,5,0.49872055649757385,0.5012794435024261
European,Mother,male,5,0.3988600969314575,0.6011399030685425
European,Nanny,female,4,0.4443279206752777,0.5556720793247223
European,Nanny,male,5,0.39342111349105835,0.6065788865089417
European,Older Brother,female,5,0.43274635076522827,0.5672536492347717
European,Older Brother,male,5,0.3832774758338928,0.6167225241661072
European,Older Sister,female,5,0.4651440978050232,0.5348559021949768
European,Older Sister,male,5,0.4171029031276703,0.5828970968723297
European,Uncle,female,5,0.4334878921508789,0.5665121078491211
European,Uncle,male,5,0.36720114946365356,0.6327988505363464
Japanese,Aunt,female,5,0.5256021618843079,0.47439783811569214
Japanese,Aunt,male,4,0.477775901556015,0.522224098443985
Japanese,Father,female,5,0.5417453050613403,0.45825469493865967
Japanese,Father,male,5,0.5710353851318359,0.42896461486816406
Japanese,Grandfather,female,5,0.48075810074806213,0.5192418992519379
Japanese,Grandfather,male,5,0.4949117600917816,0.5050882399082184
Japanese,Grandmother,female,4,0.5684269070625305,0.4315730929374695
Japanese,Grandmother,male,5,0.5226889848709106,0.47731101512908936
Japanese,Mother,female,5,0.531040608882904,0.46895939111709595
Japanese,Mother,male,5,0.4952603876590729,0.5047396123409271
Japanese,Nanny,female,5,0.49481648206710815,0.5051835179328918
Japanese,Nanny,male,5,0.5129292011260986,0.48707079887390137
Japanese,Older Brother,female,5,0.5049186944961548,0.4950813055038452
Japanese,Older Brother,male,5,0.4702727198600769,0.5297272801399231
Japanese,Older Sister,female,5,0.5458436012268066,0.45415639877319336
Japanese,Older Sister,male,5,0.5271987915039062,0.47280120849609375
Japanese,Uncle,female,5,0.45897477865219116,0.5410252213478088
Japanese,Uncle,male,5,0.4894789159297943,0.5105210840702057
Kenyan,Aunt,female,5,0.5608137845993042,0.4391862154006958
Kenyan,Aunt,male,5,0.5506819486618042,0.4493180513381958
Kenyan,Father,female,5,0.5944696664810181,0.40553033351898193
Kenyan,Father,male,5,0.59184330701828,0.40815669298171997
Kenyan,Grandfather,female,5,0.5226340889930725,0.4773659110069275
Kenyan,Grandfather,male,5,0.5126250982284546,0.4873749017715454
Kenyan,Grandmother,female,4,0.5639647841453552,0.4360352158546448
Kenyan,Grandmother,male,4,0.5434427261352539,0.4565572738647461
Kenyan,Mother,female,4,0.5350117087364197,0.4649882912635803
