metric,coef_is_daughter,ci_low,ci_high,p_is_daughter,r_squared,adj_r_squared,n_obs
trait_bias_index,-0.13348322232243395,-0.15045531761567876,-0.11651112702918914,3.672530622933415e-53,0.08774559614998889,0.08664641168868903,13296
role_bias_index,-0.07927317476789257,-0.08943352609747356,-0.06911282343831159,2.360777613889525e-52,0.1855793783165811,0.18459807475856205,13296
domain_bias_index,-0.08156839298993442,-0.09901377024935351,-0.06412301573051532,5.676749284772025e-20,0.14297684306987068,0.14194420729075452,13296
marker_bias_index,-1.5736519984638053,-1.5866451362988503,-1.5606588606287604,0.0,0.8103201206249617,0.8100915734399327,13296
stereotype_score,1.7079650219590046,1.6757928418000896,1.7401372021179196,0.0,0.4687565695410386,0.4681164690148436,13296
agentic_per1000,-3.8510315315674557,-4.467733078752169,-3.2343299843827418,2.8984851738304846e-34,0.1598808400258992,0.15886857204189542,13296
communal_per1000,4.767232095587541,4.001504264702454,5.532959926472628,4.5391668923697485e-34,0.24171987308734788,0.2408062137733481,13296
masculine_traits_per1000,-0.2343944262494148,-0.31041555590051534,-0.15837329659831428,1.5468349440643797e-09,0.026349517714362336,0.025176356503685993,13296
feminine_traits_per1000,0.6832571657260912,0.5937323170603953,0.7727820143917871,3.439768023613997e-50,0.15676472169441358,0.15574869906824518,13296
