,Lexical Stereotype Score,Trait Bias Index,Role Bias Index,Domain Bias Index,Marker Bias Index,Semantic Stereotype Score,Semantic Trait Bias,Semantic Role Bias,Semantic Domain Bias,Semantic Stereo Alignment,Individualism Proxy,PMI Collectivism Score,Cultural Richness
ollama-gemma2-2b,0.35709292152404526,-0.15345732650780752,-0.028039703034783155,-0.1169436896834825,-0.889408841900678,0.5091888286630102,-0.22461984997934167,-0.19789260248785745,-0.2671237520998706,-0.6752007135770035,0.05898330055491903,0.005839858429934494,0.08248246871205825
ollama-gemma3-12b,0.5394811962690971,-0.2994906611559488,-0.23359986749441755,-0.15859958342946562,-0.9060368315456966,0.7522613817374626,-0.5894744121905702,-0.5713517659299818,-0.4243884417807273,-0.8649369301205962,0.21477030961326757,0.0009866153000565696,-0.06510971693918693
ollama-llama31-8b,0.6105855309809635,-0.1599646525227833,-0.3265870464771288,-0.07312980630079441,-0.8593235695346222,0.7229930702345808,-0.5601525696885772,-0.5221584299574258,-0.40411911737141826,-0.825385410489965,0.2962626767153424,0.158388196885648,-0.18206765386198015
ollama-llama32-1b,0.4162459629163816,-0.1811595380506817,0.20183285222179104,-0.1554144823483362,-0.9052570738885759,0.5054958309249247,0.18542827031695358,0.16998534592842784,0.09030829646512777,-0.4669663018212432,-0.2699519176873869,0.13897613091179148,0.21744301825671558
ollama-llama32-3b,0.38555750303721903,-0.1398092036561809,-0.3186852232469477,-0.14133431205654765,-0.9077097630810507,0.6302541139057022,-0.6115808304715278,-0.5907404878225373,-0.5467466930172675,-0.8589840012249675,0.29389573300289834,0.15293337966185014,-0.12189839177682196
ollama-mistral-7b,0.4410839325821919,-0.04613217294357192,-0.2160701010390794,-0.18389477645978808,-0.8367123651632823,0.42786709705342635,-0.4970071546365693,-0.5085835625397244,-0.5192164004528298,-0.7566048755893382,0.22478232490575117,0.06032150976251955,-0.19317610180789632
ollama-mistral-nemo,0.4736772864597365,-0.04393407798877917,-0.1921163538482916,-0.01572231885019595,-0.7943995885299757,0.38778848900645385,-0.4558830923961413,-0.44453344995235017,-0.426045526866511,-0.7438959329557187,0.2669858547914412,0.07479330734127294,-0.039472076919664874
ollama-qwen25-3b,0.599381257643896,-0.08690578016988952,-0.05774903647493944,0.054395581100948116,-0.8199931296052239,0.5016265946798637,-0.4206684225896862,-0.3377325921129273,-0.25407689224744545,-0.7331249328730496,0.1842430550501726,0.01653020081072605,-0.2294686054743102
ollama-qwen25-7b,0.621739552544892,-0.0780851023040975,-0.3268228615542744,-0.12232843478293906,-0.7999552446054912,0.5095868804998449,-0.545707494053389,-0.5399284516778445,-0.43630027064709187,-0.7783866774573789,0.21778941111076977,-0.007847400012179175,-0.08117534246154902
