model,feminine_traits_similarity,masculine_traits_similarity,communal_roles_similarity,agentic_roles_similarity,career_domain_similarity,family_domain_similarity,feminine_stereotype_similarity,masculine_stereotype_similarity,trait_bias_index_semantic,role_bias_index_semantic,domain_bias_index_semantic,stereotype_alignment_index_semantic,trait_gender_bias_semantic,role_gender_bias_semantic,domain_gender_bias_semantic,stereotype_gender_bias_semantic,child_target_stereotype_score_semantic,n_stories
llama-3.1-8b-instant,0.3265036359843281,0.254287146197425,0.28582333547787536,0.2013192147947848,0.10396365379759422,0.20930540634112227,0.31106187803670765,0.21071344633690184,-0.12441263945024433,-0.17812503633082646,-0.3484209340407253,-0.19180176359055273,-0.07221648978690307,-0.08450412068309056,-0.10534175254352805,-0.10034843169980578,0.5666666666666667,360
llama-3.3-70b-versatile,0.3813755175926619,0.2861387943642007,0.3646781981819206,0.2466319508643614,0.14653719725708167,0.2462354999449518,0.3734858452445931,0.25316074165619085,-0.13830247850747274,-0.19127062456540977,-0.24727450121599692,-0.18025507316603445,-0.09523672322846122,-0.1180462473175592,-0.09969830268787014,-0.12032510358840227,0.5722222222222222,360
openai/gpt-oss-120b,0.2638317236262891,0.1955053123542004,0.19672472600100768,0.12134697437545078,0.05961798435309902,0.13221961002176005,0.23557803181724415,0.1360534650609932,-0.14652135011292197,-0.2565725720598096,-0.4368348589877981,-0.27201203906415,-0.06832641127208869,-0.07537775162555692,-0.07260162566866105,-0.09952456675625096,0.2861111111111111,360
openai/gpt-oss-20b,0.2486957627348602,0.1969979349213342,0.22583693210035563,0.14938794357391696,0.08294530811771336,0.14848358161333536,0.22640662516156831,0.14868437862023712,-0.11306248539834807,-0.21942876892358193,-0.277792524751035,-0.2042575962277975,-0.05169782781352599,-0.07644898852643868,-0.06553827349562198,-0.07772224654133121,0.5166666666666667,360
qwen/qwen3-32b,0.27078185569908886,0.22421107770254214,0.252154612996512,0.18005237941526706,0.08042270410547239,0.2738827339477009,0.27810208975440925,0.2293744950244824,-0.09589544300514871,-0.17580747862969456,-0.5611950127629701,-0.09334623734180762,-0.04657077799654669,-0.07210223358124494,-0.19346002984222851,-0.048727594729926854,0.6888888888888889,360
