model,masculine_traits_count,feminine_traits_count,male_markers_count,female_markers_count,trait_gender_bias,role_gender_bias,domain_gender_bias,marker_gender_bias,trait_bias_index,role_bias_index,domain_bias_index,direct_gender_marker_index,child_target_stereotype_score,token_count_lex,n_stories
llama-3.1-8b-instant,0.46111111111111114,1.175,4.958333333333333,4.794444444444444,-3.6762206694774187,-17.51260883657819,-10.513878208213557,0.6576598294265332,-0.30018518515263415,-0.5792773738360327,-0.7106106701260896,-0.012545953954445497,0.7527777777777778,193.92222222222222,360
llama-3.3-70b-versatile,0.23055555555555557,1.3888888888888888,4.0055555555555555,3.6166666666666667,-7.150211381879001,-25.002998506626582,-8.511317781898692,2.4292351789236224,-0.5105423279934075,-0.676633597862198,-0.625958994647195,0.02720318261995597,0.6777777777777778,159.4611111111111,360
openai/gpt-oss-120b,0.07777777777777778,2.15,4.083333333333333,4.461111111111111,-10.614494561751023,-17.116864011710682,-13.894315768852348,-2.4767402303579917,-0.8008333332519946,-0.8330357142341291,-0.8647222221540302,-0.08499810918635566,0.4708333333333333,178.86388888888888,360
openai/gpt-oss-20b,0.1,0.975,4.116666666666666,4.836111111111111,-4.707648481019384,-14.797458628188414,-14.342863806499427,-4.414866215428689,-0.5127777777074413,-0.7177711639723227,-0.8181878306238491,-0.06356096109686298,0.5180555555555556,159.9611111111111,360
qwen/qwen3-32b,0.3388888888888889,1.7083333333333333,10.719444444444445,12.072222222222223,-2.830810279998404,-11.654667765780209,-14.396209414214235,-2.4512553738220553,-0.5781481479940926,-0.7416458826499581,-0.8701494272675706,-0.01856684010296731,0.6555555555555556,486.025,360
