model_key,test_key,layer,word,set,score
ollama-gemma2-2b,A_career_family,embedding,business,X,-0.018738843500614166
ollama-gemma2-2b,A_career_family,embedding,career,X,-0.0783647745847702
ollama-gemma2-2b,A_career_family,embedding,company,X,-0.042609959840774536
ollama-gemma2-2b,A_career_family,embedding,corporate,X,-0.07720306515693665
ollama-gemma2-2b,A_career_family,embedding,employed,X,-0.07248282432556152
ollama-gemma2-2b,A_career_family,embedding,engineer,X,-0.08734238892793655
ollama-gemma2-2b,A_career_family,embedding,entrepreneur,X,-0.09912651777267456
ollama-gemma2-2b,A_career_family,embedding,executive,X,-0.0758076161146164
ollama-gemma2-2b,A_career_family,embedding,industry,X,-0.05327116698026657
ollama-gemma2-2b,A_career_family,embedding,invention,X,-0.09937317669391632
ollama-gemma2-2b,A_career_family,embedding,job,X,0.005546942353248596
ollama-gemma2-2b,A_career_family,embedding,lawyer,X,-0.083229199051857
ollama-gemma2-2b,A_career_family,embedding,management,X,-0.024829275906085968
ollama-gemma2-2b,A_career_family,embedding,manager,X,-0.013173416256904602
ollama-gemma2-2b,A_career_family,embedding,occupation,X,-0.0973266214132309
ollama-gemma2-2b,A_career_family,embedding,office,X,-0.04884779453277588
ollama-gemma2-2b,A_career_family,embedding,position,X,0.0010640360414981842
ollama-gemma2-2b,A_career_family,embedding,profession,X,-0.08355115354061127
ollama-gemma2-2b,A_career_family,embedding,professional,X,-0.05323835462331772
ollama-gemma2-2b,A_career_family,embedding,promotion,X,-0.07920114696025848
ollama-gemma2-2b,A_career_family,embedding,research,X,-0.04484795033931732
ollama-gemma2-2b,A_career_family,embedding,salary,X,-0.08540743589401245
ollama-gemma2-2b,A_career_family,embedding,scientist,X,-0.0027845799922943115
ollama-gemma2-2b,A_career_family,embedding,technology,X,-0.07037419080734253
ollama-gemma2-2b,A_career_family,embedding,work,X,0.02554820477962494
ollama-gemma2-2b,A_career_family,embedding,ancestor,Y,-0.08301611244678497
ollama-gemma2-2b,A_career_family,embedding,baby,Y,-0.06080184131860733
ollama-gemma2-2b,A_career_family,embedding,babysit,Y,0.11475303024053574
ollama-gemma2-2b,A_career_family,embedding,caregiver,Y,0.09021444618701935
ollama-gemma2-2b,A_career_family,embedding,chore,Y,0.11284227669239044
ollama-gemma2-2b,A_career_family,embedding,cook,Y,-0.050772927701473236
ollama-gemma2-2b,A_career_family,embedding,domestic,Y,-0.08686943352222443
ollama-gemma2-2b,A_career_family,embedding,family,Y,-0.032367050647735596
ollama-gemma2-2b,A_career_family,embedding,grandchild,Y,-0.02361638844013214
ollama-gemma2-2b,A_career_family,embedding,hearth,Y,0.04726727679371834
ollama-gemma2-2b,A_career_family,embedding,home,Y,0.012754052877426147
ollama-gemma2-2b,A_career_family,embedding,household,Y,-0.1114412397146225
ollama-gemma2-2b,A_career_family,embedding,kitchen,Y,-0.09510044753551483
ollama-gemma2-2b,A_career_family,embedding,marriage,Y,-0.09859012067317963
ollama-gemma2-2b,A_career_family,embedding,parent,Y,-0.010994724929332733
ollama-gemma2-2b,A_career_family,embedding,relative,Y,-0.03949616104364395
ollama-gemma2-2b,A_career_family,embedding,sibling,Y,-0.07365710288286209
ollama-gemma2-2b,A_career_family,embedding,tradition,Y,-0.10279673337936401
ollama-gemma2-2b,A_career_family,embedding,wedding,Y,-0.10040562599897385
ollama-gemma2-2b,B_agentic_communal,embedding,accomplish,X,0.011260073632001877
ollama-gemma2-2b,B_agentic_communal,embedding,ambitious,X,-0.03766094893217087
ollama-gemma2-2b,B_agentic_communal,embedding,assertive,X,-0.02580733597278595
ollama-gemma2-2b,B_agentic_communal,embedding,bold,X,-0.0007479861378669739
ollama-gemma2-2b,B_agentic_communal,embedding,brave,X,-0.07068230211734772
ollama-gemma2-2b,B_agentic_communal,embedding,competitive,X,-0.06982767581939697
ollama-gemma2-2b,B_agentic_communal,embedding,confident,X,-0.06473822891712189
ollama-gemma2-2b,B_agentic_communal,embedding,courageous,X,-0.02268233895301819
ollama-gemma2-2b,B_agentic_communal,embedding,decisive,X,0.021642528474330902
ollama-gemma2-2b,B_agentic_communal,embedding,determined,X,-0.052335165441036224
ollama-gemma2-2b,B_agentic_communal,embedding,dominant,X,-0.06909146159887314
ollama-gemma2-2b,B_agentic_communal,embedding,driven,X,-0.023275289684534073
ollama-gemma2-2b,B_agentic_communal,embedding,fearless,X,-0.016158834099769592
ollama-gemma2-2b,B_agentic_communal,embedding,heroic,X,0.020859092473983765
